,Date,Tweet
0,2020-12-15 21:30:34+00:00,b'Drunk Han Ji Pyeong is hilarious \xf0\x9f\x98\x82 #StartUpEp15'
1,2020-12-13 17:00:01+00:00,b'Next year could be decisive for the world \xf0\x9f\x8c\x8f. 2020 has taught us that we need to work together for a stronger response and show that we can build back better.\n\nJoin in. Be the change.'
2,2020-12-15 13:11:00+00:00,b'Gaes penonton #StartUpEp16 #StartUpEp15 #startupep14 #StartUpEp9 episode berapa sih yg membuat kalian lebih semangat menjlani hidup... yg pesanny kek nyes banget.. soalny aku mau buat konten nih.... aku bingung..'
3,2020-12-15 11:30:05+00:00,b'Yeorobuuunn... ingat baik2 seperti ini jwbnnya yaa kalau ditanya doi hehehhe Kalau hbs jwb gini trus doi lgsg nyipok berarti doi jg nonton #StartUpEp15 \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/Zxp8Lmcf2W'
4,2020-12-13 16:25:06+00:00,b'korban #StartUpEp15 https://t.co/XyXwUR52FN'
5,2020-12-13 14:01:32+00:00,b'Udah bisa move on dari #StartUpEp15 &amp;\n#StartUpEp16 kok.\n\nSekarang bermaksud mantengin #MrQueenEp1 nya #KimJungHyun &amp; #ShinHyeSun yg bikin \xf0\x9f\x98\x86\n\nTapi tadi ga sengaja nemu spoiler #StartUpEp17 \xf0\x9f\x98\xad\nKan jadi baper akutu.\n\nBaca ini deh\nhttps://t.co/NgxrzZWDHB'
6,2020-12-13 11:17:40+00:00,b'Akhirnya lnjutin #StartUpEp15 pdahal agak kecewa sih alesan in jae milih ibunya dan dal mi milih bpaknya gak dibahas https://t.co/OgKBu3J17O'
7,2020-12-13 05:36:56+00:00,b'jujur AKU NGERASA IKUT BAHAGIA JUGA\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #StartUpEp15 https://t.co/McYUEktMa9'
8,2020-12-13 05:36:13+00:00,"b'jujur gw nangis banget... di sini jipyeong kea uda ngiklasin cintanya sma dalmi.. kebayang ga si kalo kita jadi jipyeong? yang dlu nya dri sejak dia remaja ngirim"" surat ke dalmi trs jipyeong adlh cinta pertamanya dalmi.. SAKIT KAN hshsh ga kebyang si hshshs\n#StartUpEp15 https://t.co/UqnBxPccAh'"
9,2020-12-13 05:29:38+00:00,b'SALAH SERVER\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n#StartUpEp15 https://t.co/O0mkroI4l8'
10,2020-12-12 05:21:30+00:00,"b'Bukan hanya Cinta, Benci juga butuh bukti..\n#1212Sale \n#TeamJiPyeong #StartUpEp15\n#Harbolnas1212 KECEWA Tinggi\n#RingkusRijikBasmiFPI\n#StopCopyPaste\n https://t.co/bIsCTIPgAu'"
11,2020-12-11 09:41:27+00:00,b'Seneng liatnya \xf0\x9f\xa4\x97\nOrang sukses banyak perjuangan nya \xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc\n\n#StartUpEp15 https://t.co/fjN7Af8kjf'
12,2020-12-10 09:19:28+00:00,b'#teamdosan mana suaranya? #StartUpEp15 #NamJooHyuk https://t.co/E7pmrnpX0w'
13,2020-12-10 05:19:29+00:00,b'Bangke\n\n#StartUpEp15 #StartUp https://t.co/sz1uY7LZWE'
14,2020-12-09 17:15:49+00:00,"b'Sadboy moment again, dan ini puncakkknya :"""") HUHU pingin peluk Sangmunim, tapi Sangmunimnya gatau mau apa engga kalo ogut yang peluk:3\n\nEps. 15\n#StartUp #StartUpEp15 https://t.co/IEjWKzM9gY'"
15,2020-12-09 17:14:00+00:00,"b""Nak tengok ka nak qeyau ni :')) #StartUpEp15"""
16,2020-12-09 17:12:18+00:00,"b'Pada akhirnya, Dosan Dalmi ""nyatu"" lagi karena andil Anak Baik lagi:"""") gudboy become to be gudddmeen!\xf0\x9f\x92\x9b\n\nEps. 15\n#StartUp #StartUpEp15 https://t.co/P5erimwd7I'"
17,2020-12-09 17:06:04+00:00,"b'Abis putar puter samsan check di kamar Do-san, skrg malah ngejeledaagg! Di episode ini padahal dia lagi patah hati malah kocak, wk!\n\nEps. 15\n#StartUp #StartUpEp15 https://t.co/fC41L0nZBx'"
18,2020-12-09 17:02:38+00:00,b'Samsan cheeeckkkk! Cheeeckkk cheeckkk!\xf0\x9f\x92\x83 Em. Sangmunim? Sehat?! wk.\n\nEps. 15\n#StartUp #StartUpEp15 https://t.co/zOg81UUs7K'
19,2020-12-09 16:59:09+00:00,"b'Kusuka, kusuka, kusukaaaaa.. Aaaa\xe2\x9c\xa8 Kapalku dilayarkan oleh writerniiiim. Yuhuu!\xe2\x9b\xb5\xf0\x9f\x8c\x8a\n\n#StartUp\n#StartUpEp15 https://t.co/KtFcg8Dy8Q'"
20,2020-12-09 12:02:04+00:00,b'Bromance \xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\xf0\x9f\x98\xb3\n#startupep15 #StartUp \n\nP. S: Ada penampakan. https://t.co/fMZaYPuiBi'
21,2020-12-09 10:57:22+00:00,b'Dipaksa Pulang? Sakitnya Tuh di Sini\n\n#YangAkuMau\n#RokokNaikRakyatPanik\n#hukumanbuatkoruptor\n#BubarkanOrmasPemecah\n#EnaaakkkTapiNendaaang\nAngin\nPernah\n#StartUpEp15\n#GangnamXMewGulfSS2\nBidadari\nPak Han\n https://t.co/KszB5VfCMe'
